avg_rating,helpful,model,product,q_and_a,rating,recommended,skuId,total_reviews,unhelpful,user
4.7,6,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,5,96%,5581586,3398,0,Texstechfan
4.7,2,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,2,96%,5581586,3398,1,Grimmbro
4.7,1,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,3,96%,5581586,3398,0,Supergrl9119
4.7,2,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,4,96%,5581586,3398,0,Jonathan
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,5,96%,5581586,3398,0,dogfanman
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,5,96%,5581586,3398,0,Kiran
4.7,1,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,5,96%,5581586,3398,0,50shadesofJay
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,5,96%,5581586,3398,0,Upgraded5s
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,4,96%,5581586,3398,0,Applei7black
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,5,96%,5581586,3398,0,tmeidinger
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,5,96%,5581586,3398,0,Richard
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,5,96%,5581586,3398,0,CFLareahomesDOTcom
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,3,96%,5581586,3398,0,Chris
4.7,0,MN8G2LL/A,Apple - iPhone 7 32GB - Black (Verizon),54,3,96%,5581586,3398,0,Chris
4.8,106,MQA52LL/A,Apple - iPhone X 64GB - Space Gray (Verizon),79,5,95%,6009901,1599,28,ShufromChina
4.8,12,MQA52LL/A,Apple - iPhone X 64GB - Space Gray (Verizon),79,5,95%,6009901,1599,2,Andrew21
4.8,11,MQA52LL/A,Apple - iPhone X 64GB - Space Gray (Verizon),79,5,95%,6009901,1599,2,PaulV
4.8,93,MQA52LL/A,Apple - iPhone X 64GB - Space Gray (Verizon),79,3,95%,6009901,1599,59,PabloParque
